h3index,geometry,ID_HDC_G0,UC_NM_MN,CTR_MN_ISO,CTR_MN_NM,GRGN_L1,GRGN_L2,neighborhood_id
863c1939fffffff,"POLYGON ((89.03120667667 26.34452234858068, 89.03433860139016 26.342853038046297, 89.02666149463587 26.32677344110781, 89.01598646275663 26.326773377516073, 89.02000855782559 26.335205611083715, 89.01144683284102 26.335205558215687, 89.03120667667 26.34452234858068))",9599,Patgram,BGD,Bangladesh,Asia,South-Central Asia,863c1939fffffff_9599
863c1938fffffff,"POLYGON ((89.03120667667 26.34452234858068, 89.03167204125472 26.35207432824375, 89.0387412544373 26.35207433569446, 89.03433860139016 26.342853038046297, 89.03120667667 26.34452234858068))",9599,Patgram,BGD,Bangladesh,Asia,South-Central Asia,863c1938fffffff_9599
863c19387ffffff,"POLYGON ((89.03120667667 26.34452234858068, 89.01144683284102 26.335205558215687, 89.00932902715645 26.335205545138393, 89.01335556591266 26.34363769449796, 88.99200093534384 26.34363775848496, 88.99602749013496 26.352074305358354, 89.00670259254095 26.352074374600495, 89.01073361906472 26.360506494791768, 89.02141314985064 26.360506513386895, 89.01738214833597 26.35207431318268, 89.03167204125472 26.35207432824375, 89.03120667667 26.34452234858068))",9599,Patgram,BGD,Bangladesh,Asia,South-Central Asia,863c19387ffffff_9599
863c19637ffffff,"POLYGON ((88.84788214844885 26.094187636270355, 88.85145028033591 26.092281969898888, 88.84279048873978 26.07390226760168, 88.82146261263219 26.07390228887379, 88.82616735167224 26.08389052055272, 88.84788214844885 26.094187636270355))",9592,Domar,BGD,Bangladesh,Asia,South-Central Asia,863c19637ffffff_9592
863c19627ffffff,"POLYGON ((88.84788214844885 26.094187636270355, 88.84920929058632 26.116036281724394, 88.87331307728908 26.1160362998235, 88.86536245736895 26.09918087754633, 88.85470078838769 26.099180908475326, 88.85145028033591 26.092281969898888, 88.84788214844885 26.094187636270355))",9592,Domar,BGD,Bangladesh,Asia,South-Central Asia,863c19627ffffff_9592
863c1971fffffff,"POLYGON ((88.84788214844885 26.094187636270355, 88.82616735167224 26.08389052055272, 88.82939985215515 26.09075316765191, 88.81873814114171 26.0907531897864, 88.82270673224693 26.09918090999348, 88.80137885560035 26.099180906175636, 88.80932049826059 26.116036251772613, 88.84920929058632 26.116036281724394, 88.84788214844885 26.094187636270355))",9592,Domar,BGD,Bangladesh,Asia,South-Central Asia,863c1971fffffff_9592
863c196efffffff,"POLYGON ((89.04508351881903 26.02357581920493, 89.05609698665859 26.028778967215352, 89.05354098418148 26.023353873237845, 89.04506989674609 26.02335385118322, 89.04508351881903 26.02357581920493))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c196efffffff_9607
863c196e7ffffff,"POLYGON ((88.9779660214517 26.02463782411665, 89.01255742975084 26.040999856291148, 89.04508351881903 26.02357581920493, 89.04506989674609 26.02335385118322, 89.04287927615046 26.023353845479903, 89.03495100043962 26.006507396447155, 89.02429372614249 26.0065074240973, 88.97685779037782 26.006507412871546, 88.9779660214517 26.02463782411665))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c196e7ffffff_9607
863c1961fffffff,"POLYGON ((88.9779660214517 26.02463782411665, 88.97685779037782 26.006507412871546, 88.97099856466876 26.006507411484954, 88.97495824982236 26.014930660696013, 88.94297758261278 26.01493067863537, 88.93902235846593 26.006507372102813, 88.9283606611069 26.006507366856653, 88.93628000369208 26.023353856035108, 88.94694170709678 26.0233538621167, 88.95090143384238 26.03177709579589, 88.96156309333742 26.031777130569672, 88.96217989665958 26.03308699432447, 88.9779660214517 26.02463782411665))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c1961fffffff_9607
863c19657ffffff,"POLYGON ((89.04508351881903 26.02357581920493, 89.01255742975084 26.040999856291148, 89.01462753882704 26.074769686132733, 89.0306291178319 26.082329981117688, 89.06002448824583 26.082329956089247, 89.04809645677949 26.05705128879615, 89.05875812107153 26.05705127672279, 89.04684786889061 26.031777130210347, 89.05750956614186 26.03177715540809, 89.05609698665859 26.028778967215352, 89.04508351881903 26.02357581920493))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c19657ffffff_9607
863c1960fffffff,"POLYGON ((89.01462753882704 26.074769686132733, 89.01255742975084 26.040999856291148, 88.9779660214517 26.02463782411665, 88.96217989665958 26.03308699432447, 88.9734644593566 26.057051261595163, 88.98412613521896 26.057051322105682, 88.99206785685908 26.073902270170862, 88.9814061169199 26.073902212687667, 88.98842871122295 26.08878637084297, 89.01462753882704 26.074769686132733))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c1960fffffff_9607
863c19677ffffff,"POLYGON ((89.01462753882704 26.074769686132733, 88.98842871122295 26.08878637084297, 88.98935668250094 26.09075317551217, 89.0000184096032 26.090753228180397, 89.00400040642012 26.099180851126878, 89.01466206391191 26.09918092749266, 89.01068459957172 26.090753158417233, 89.02134627602696 26.090753175152845, 89.01736872850276 26.082329992408134, 89.0306291178319 26.082329981117688, 89.01462753882704 26.074769686132733))",9607,Jaldhaka,BGD,Bangladesh,Asia,South-Central Asia,863c19677ffffff_9607
863ce6b8fffffff,"POLYGON ((89.71719437508898 26.011230412624403, 89.7199907495818 26.012535608146713, 89.71713100463155 26.006507407999493, 89.71689301200709 26.006507407406744, 89.71719437508898 26.011230412624403))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6b8fffffff_9708
863ce6b87ffffff,"POLYGON ((89.64990939686933 26.012606422926357, 89.68462717166001 26.028830413468043, 89.71719437508898 26.011230412624403, 89.71689301200709 26.006507407406744, 89.70646934612465 26.006507381445292, 89.66383365268787 26.00650741971352, 89.64952172024367 26.006507413875593, 89.64990939686933 26.012606422926357))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6b87ffffff_9708
863ce6bb7ffffff,"POLYGON ((89.64990939686933 26.012606422926357, 89.64952172024367 26.006507413875593, 89.6211979256631 26.00650740232214, 89.62518881183077 26.014930617073823, 89.61452710439264 26.014930605701153, 89.61851802115693 26.023353906861786, 89.62917972370823 26.023353903304457, 89.62934792092297 26.02370845459684, 89.64990939686933 26.012606422926357))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6bb7ffffff_9708
863ce6bafffffff,"POLYGON ((89.71719437508898 26.011230412624403, 89.68462717166001 26.028830413468043, 89.68678210094372 26.06263808080431, 89.69151170097142 26.06484572376518, 89.68781243596274 26.057051343171175, 89.69847416736792 26.05705133022645, 89.69446986885897 26.04862808833666, 89.7157933139905 26.04862809405893, 89.71179351463078 26.040204783528868, 89.73311688560638 26.040204850156915, 89.7199907495818 26.012535608146713, 89.71719437508898 26.011230412624403))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6bafffffff_9708
863ce6ba7ffffff,"POLYGON ((89.68678210094372 26.06263808080431, 89.68462717166001 26.028830413468043, 89.64990939686933 26.012606422926357, 89.62934792092297 26.02370845459684, 89.64516559657127 26.057051321494825, 89.65582731592107 26.05705128387338, 89.65982709994655 26.06547898020324, 89.68151863489516 26.065478986002965, 89.68678210094372 26.06263808080431))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6ba7ffffff_9708
863ce6b17ffffff,"POLYGON ((89.68678210094372 26.06263808080431, 89.68151863489516 26.065478986002965, 89.69181225275877 26.0654789887552, 89.69151170097142 26.06484572376518, 89.68678210094372 26.06263808080431))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6b17ffffff_9708
863ce689fffffff,"POLYGON ((89.37246979041977 25.882496798826203, 89.38823330613212 25.87399062025525, 89.38718433748224 25.87175785089043, 89.37653154108918 25.871757848150565, 89.37258077325987 25.86333459487014, 89.3619324073488 25.863334550116072, 89.36588321303311 25.871757809001988, 89.35523039102908 25.87175778504392, 89.35681188758967 25.875127876359816, 89.36753978204871 25.880176638212156, 89.36983391844747 25.88017664214901, 89.37048492539496 25.88156268161825, 89.37246979041977 25.882496798826203))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce689fffffff_9684
863ce68d7ffffff,"POLYGON ((89.44177894708783 25.915076879885177, 89.45711934099707 25.922279466553558, 89.47485917903468 25.92227941935901, 89.47089498588346 25.91386062112052, 89.46023775660092 25.91386061596419, 89.44835426718166 25.88859542990416, 89.44011791122144 25.88859537554216, 89.44048998103413 25.894527197100256, 89.44166117249814 25.89701860162654, 89.4406462530311 25.897018604811578, 89.44177894708783 25.915076879885177))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce68d7ffffff_9684
